"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_3","FWB1_4","FWB1_5","FWB1_6","FWB2_1","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_1","FS1_2","FS1_3","FS1_4","FS1_5","FS1_6","FS1_7","FS2_1","FS2_2","FS2_3","SUBKNOWL1","ACT1_1","ACT1_2","FINGOALS","PROPPLAN_1","PROPPLAN_2","PROPPLAN_3","PROPPLAN_4","MANAGE1_1","MANAGE1_2","MANAGE1_3","MANAGE1_4","SAVEHABIT","FRUGALITY","AUTOMATED_1","AUTOMATED_2","ASK1_1","ASK1_2","SUBNUMERACY2","SUBNUMERACY1","CHANGEABLE","GOALCONF","LMscore"
"1",1,3,5,5,6,25,1,2,5,1,5,5,4,2,5,5,34,2,3,2,3,1,2,2,3,3,2,3,2,2,0,2,2,2,2,2,2,1,1,2,6,1,0,2,2,6,5,4,2,3
"1",1,3,7,4,7,73,5,4,1,5,1,5,1,1,1,2,66,5,2,3,5,3,5,5,5,2,1,5,5,5,1,3,4,4,3,5,5,5,5,6,6,7,0,5,1,1,6,3,4,3
"1",2,3,7,6,6,53,4,4,4,3,4,3,2,3,2,3,50,3,5,3,3,4,3,3,5,5,3,5,5,4,1,4,2,4,4,5,3,5,3,4,5,0,1,4,3,3,5,5,3,3
"1",1,2,5,7,5,70,1,3,1,4,3,3,1,5,1,1,56,4,3,3,4,2,5,4,5,4,3,7,5,4,0,5,5,3,3,5,3,5,5,6,6,7,1,5,3,3,1,2,3,2
"1",1,3,7,7,7,64,3,3,2,3,2,2,1,5,2,2,49,3,4,4,3,4,2,4,4,4,2,5,5,3,0,4,3,4,3,5,3,4,5,5,3,1,0,4,3,4,6,3,3,3
"1",1,3,7,7,7,74,5,5,1,5,1,3,1,5,1,2,70,5,4,5,5,3,5,5,4,4,2,6,5,5,1,3,5,5,5,5,4,5,5,6,6,1,1,5,3,6,6,1,4,3
"1",2,2,7,7,4,81,4,4,1,4,1,2,1,5,1,1,57,4,5,2,4,3,4,4,5,5,3,5,5,3,0,2,4,3,3,5,5,5,5,5,5,7,1,3,3,2,2,6,3,2
"1",1,3,5,5,5,60,3,3,2,3,1,4,2,4,1,3,46,4,1,2,3,3,4,3,4,3,3,3,5,4,1,5,5,5,4,5,4,5,3,2,6,0,0,3,1,6,6,2,4,3
"1",1,2,6,6,6,63,4,4,2,4,4,2,2,4,1,2,51,4,4,4,3,3,3,4,4,3,2,5,5,4,0,5,3,4,3,5,5,5,5,5,6,1,1,4,4,3,3,4,4,3
"1",2,1,7,7,7,51,1,3,2,4,3,3,4,2,3,1,76,5,5,3,5,4,5,5,5,5,1,5,5,5,0,5,5,3,3,3,5,1,5,4,5,7,7,5,2,6,4,4,3,3
"1",1,2,5,5,4,50,2,2,3,2,2,3,3,2,2,4,40,3,3,2,2,2,4,3,4,4,3,4,4,3,1,4,3,3,3,4,3,4,5,5,6,0,1,3,3,4,4,4,3,3
"1",1,3,4,4,5,55,3,2,2,3,3,3,2,3,3,2,43,3,3,3,3,2,3,3,4,4,3,4,5,3,1,3,3,3,3,4,4,4,4,4,5,0,0,3,3,5,4,4,3,3
"1",2,3,6,6,6,66,4,4,2,4,1,3,1,2,2,2,55,4,4,3,4,4,4,4,4,4,3,5,5,4,0,4,4,4,4,5,5,5,5,4,4,0,0,5,5,4,4,3,4,3
"1",1,3,5,5,5,51,1,2,3,3,3,4,3,4,2,2,29,2,1,1,2,1,3,3,3,3,3,2,4,2,0,2,3,2,2,5,5,2,5,5,6,1,7,4,1,4,5,3,2,3
"1",1,3,6,5,6,63,4,3,2,3,1,3,2,4,1,3,43,3,4,2,3,2,3,4,4,4,4,4,4,3,1,3,3,4,2,5,4,5,4,6,5,0,1,3,3,3,5,4,3,3
"1",1,3,7,7,7,69,3,4,2,4,2,2,1,4,1,1,50,4,4,3,3,4,3,3,4,3,2,6,4,3,1,4,4,4,4,5,4,3,5,4,5,1,0,3,2,4,5,3,3,3
"1",1,2,7,6,6,47,3,2,3,3,3,3,3,2,3,4,38,3,3,1,2,1,3,4,4,4,4,2,4,3,0,4,3,3,3,3,3,3,4,5,5,0,1,4,1,1,1,4,3,2
"1",1,3,7,7,7,54,3,3,3,3,3,3,2,2,2,2,42,3,3,3,3,3,3,3,3,3,3,4,4,4,0,3,3,3,3,3,3,3,3,5,5,0,0,3,3,3,3,4,3,2
"1",1,1,5,6,6,48,1,2,3,3,4,3,3,3,3,2,47,3,3,3,3,3,4,4,4,4,3,5,3,4,1,4,4,5,3,4,3,5,4,4,3,7,1,3,3,5,5,2,3,2
"1",1,3,6,7,6,70,5,4,2,4,1,2,1,5,1,2,78,5,5,5,5,5,5,5,4,4,1,7,5,5,1,1,5,4,4,5,5,1,5,6,6,0,1,5,3,6,6,2,3,3
"1",1,3,6,5,5,66,4,3,3,4,1,3,1,5,1,3,51,4,4,3,3,3,4,4,4,4,3,5,4,4,0,3,3,4,2,5,5,5,5,4,5,0,0,4,4,2,4,3,3,3
"1",2,3,6,6,4,65,4,4,2,4,3,2,2,5,1,2,68,5,4,4,4,4,5,5,5,5,3,5,5,4,1,3,4,4,4,5,5,5,5,6,6,0,0,5,3,5,6,7,4,3
"1",3,2,7,5,5,53,3,3,3,3,3,4,2,3,3,2,41,3,3,3,3,2,3,3,3,4,3,5,4,3,0,3,3,3,2,4,4,2,4,4,5,0,0,2,3,1,4,5,3,1
"1",1,3,5,7,7,68,5,5,2,5,3,2,1,5,1,2,85,5,5,5,5,5,5,5,5,5,1,6,4,4,1,4,4,4,4,5,4,5,5,5,5,1,1,5,3,4,6,5,4,2
"1",1,3,5,5,5,51,1,2,3,3,3,4,3,4,2,2,29,2,1,1,2,1,3,3,3,3,3,2,4,2,0,2,3,2,2,5,5,2,5,5,6,1,7,4,1,4,5,3,2,3
"1",3,3,6,7,7,68,4,4,1,4,4,2,1,4,1,2,55,4,4,3,4,3,4,4,4,4,3,6,5,4,1,4,4,5,4,5,4,4,5,6,5,1,1,3,2,4,5,3,4,3
"1",1,3,3,5,5,40,1,1,5,1,2,5,4,2,2,3,33,2,1,3,2,1,3,3,4,4,4,3,3,3,0,4,3,3,2,4,3,1,4,4,6,7,1,3,1,1,1,3,2,3
"1",1,3,6,6,6,54,3,4,2,3,3,3,3,3,1,3,48,4,4,3,3,3,3,4,3,3,3,6,3,3,1,3,3,3,3,5,5,5,5,6,4,1,1,3,4,4,5,6,4,3
"1",1,3,7,7,7,75,4,4,1,1,1,3,1,5,1,1,67,5,4,5,5,4,5,5,1,3,2,6,4,4,1,5,5,5,5,5,5,5,5,6,6,1,1,4,2,2,5,1,3,2
"1",1,3,7,7,7,59,3,3,2,3,2,3,2,4,2,2,54,4,4,3,3,3,4,4,5,4,3,5,5,5,1,4,3,4,3,5,4,5,4,5,6,1,0,5,5,4,6,5,4,3
"1",1,3,6,6,6,72,5,4,1,4,1,3,1,5,1,2,85,5,5,5,5,5,5,5,5,5,1,7,5,5,1,5,5,5,5,5,5,5,5,6,6,0,0,5,2,4,6,4,4,3
"1",1,3,4,4,6,51,2,3,4,3,3,3,2,3,2,3,43,3,3,4,3,3,3,3,3,3,2,6,5,3,1,4,4,4,3,5,4,2,5,4,6,1,1,4,3,5,5,5,3,3
"1",1,3,7,6,6,65,3,4,2,4,4,4,1,5,1,1,64,4,4,5,4,4,5,4,5,5,1,6,5,5,1,4,5,4,4,5,5,3,5,6,6,7,7,5,1,2,5,7,4,1
"1",2,3,6,7,7,64,4,4,1,4,4,2,1,4,2,4,58,4,4,4,4,4,4,4,4,4,1,6,5,4,1,5,5,5,5,5,4,5,4,5,6,0,7,5,4,5,6,3,3,3
"1",2,3,7,4,4,73,4,5,1,4,5,2,1,5,1,2,62,5,3,4,4,3,5,4,5,4,2,5,5,5,1,5,5,4,4,5,5,5,5,5,6,7,7,5,4,4,6,4,4,3
"1",3,3,6,7,7,60,3,4,2,3,2,2,2,3,2,2,54,4,4,4,3,4,3,4,4,4,2,6,4,3,1,4,4,4,3,5,4,3,5,5,5,0,0,4,3,3,6,5,4,3
"1",2,3,7,7,7,68,4,4,2,4,2,3,1,4,1,2,49,3,4,3,3,3,4,5,4,4,3,5,5,4,0,4,4,3,4,5,5,5,4,5,4,0,0,4,3,4,4,5,4,3
"1",1,3,6,5,5,53,3,3,3,3,3,3,2,3,3,3,43,3,4,3,3,2,4,3,4,3,3,4,4,3,0,5,4,4,4,5,4,3,5,5,6,0,1,4,3,5,4,5,3,3
"1",1,3,1,3,5,16,1,2,5,1,5,5,5,1,5,5,39,3,2,2,2,2,3,2,5,5,4,4,4,3,1,3,3,3,3,4,1,1,2,1,5,0,0,3,4,3,4,3,2,3
"1",1,3,6,6,6,74,5,5,2,4,1,2,1,5,1,1,60,4,4,3,4,4,4,4,5,5,2,5,4,4,0,3,3,2,3,5,4,5,5,5,5,0,1,4,3,6,6,5,4,3
"1",1,3,5,5,7,46,3,4,5,3,4,5,3,3,2,3,54,4,3,4,3,4,4,4,5,4,3,5,4,4,1,4,4,4,4,5,4,5,5,6,6,0,0,5,4,4,5,2,3,3
"1",1,3,3,3,5,27,2,2,4,2,5,5,5,1,4,5,42,3,3,2,4,2,2,2,4,4,3,4,3,2,0,4,4,3,2,5,2,4,5,2,6,1,1,3,1,3,4,2,3,3
"1",1,3,7,6,6,54,2,3,2,3,4,2,2,2,2,3,48,3,4,4,4,4,3,3,4,2,2,5,5,3,1,5,5,5,5,5,2,2,4,3,6,1,1,5,2,6,5,3,3,3
"1",1,3,5,4,5,36,1,3,4,2,5,4,4,3,3,5,47,3,3,2,3,3,4,4,4,4,3,4,4,3,1,3,4,4,2,5,3,5,5,5,5,7,1,3,4,5,5,2,2,3
"1",1,3,6,6,5,56,3,4,2,3,3,2,2,3,2,3,44,3,4,3,3,3,3,3,3,4,3,5,5,3,1,3,3,4,2,5,3,2,4,5,4,1,1,4,3,5,5,5,3,3
"1",1,3,6,6,4,80,5,5,1,5,1,2,1,5,1,3,59,5,5,3,3,3,5,5,2,4,2,5,5,5,1,5,4,5,4,5,5,5,5,4,6,7,1,2,2,5,6,5,4,3
"1",2,2,6,5,6,59,3,3,2,4,4,2,3,4,1,2,50,4,4,2,3,3,5,4,4,3,3,5,5,4,0,4,4,3,4,5,5,5,5,5,5,7,0,4,3,1,1,6,3,2
"1",1,3,4,4,3,53,3,3,3,2,2,3,3,3,1,3,56,4,3,4,4,3,5,4,3,4,2,5,5,4,1,4,4,4,3,5,5,5,5,6,6,0,1,4,3,4,6,1,3,3
"1",1,3,6,6,7,66,4,5,2,2,2,2,2,5,1,1,63,4,5,3,5,3,5,4,5,5,3,4,4,4,1,4,5,5,5,5,4,5,5,5,4,1,1,5,4,4,5,3,4,3
"1",1,3,7,7,7,41,1,3,5,4,4,4,3,2,1,5,73,5,5,4,5,3,5,5,5,5,3,4,5,5,1,5,5,5,5,5,4,5,5,6,6,1,1,4,4,6,5,7,4,2
"1",1,3,5,6,7,60,4,4,3,4,3,3,2,3,1,2,58,4,5,3,4,3,5,5,4,3,2,5,5,4,1,4,4,4,4,5,4,5,5,5,6,0,0,4,5,3,4,2,3,3
"1",1,3,6,6,7,55,3,4,2,3,2,5,2,4,2,3,60,5,4,3,4,3,5,5,3,3,3,6,5,4,1,5,5,5,5,5,4,5,5,6,5,1,0,4,3,6,6,3,4,3
