"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_4","FWB1_5","FWB1_6","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_2","FS1_3"
"1",1,3,4,2,2,62,5,2,4,1,5,5,1,1,49,3,3
"1",1,3,6,5,6,76,4,4,4,1,3,5,1,1,52,4,3
"1",1,2,6,7,7,45,2,2,3,4,4,2,3,4,50,4,3
"1",1,3,5,5,7,43,3,3,3,2,4,4,4,4,44,3,3
"1",1,3,5,5,5,46,2,2,2,5,3,3,1,5,54,4,4
"1",1,3,6,6,6,52,2,3,4,3,3,3,2,3,64,3,3
"1",1,3,6,6,6,59,4,4,4,2,2,4,2,3,58,4,4
"1",1,3,5,6,6,57,3,4,4,2,3,4,2,3,52,4,3
"1",1,3,6,6,7,70,3,4,4,1,1,4,1,2,47,4,3
"1",1,3,7,7,7,76,4,1,5,1,1,5,1,4,66,5,5
"1",1,3,7,7,7,64,3,4,4,1,3,4,1,5,68,5,4
"1",1,3,7,7,7,56,4,4,3,3,3,3,2,1,48,3,3
"1",2,3,5,5,6,82,5,3,5,1,2,5,1,1,71,4,5
"1",1,2,3,7,7,31,1,2,1,4,5,1,3,5,50,3,3
"1",1,1,5,7,6,38,1,2,2,4,4,2,3,4,29,1,2
"1",1,3,7,6,6,75,5,4,5,1,2,5,1,2,64,4,3
"1",1,3,7,7,7,59,3,5,4,3,2,4,2,2,47,3,3
"1",2,3,6,6,6,61,4,4,3,2,2,4,2,2,42,3,3
"1",1,3,5,5,5,49,3,3,3,3,4,3,3,3,42,3,3
"1",1,3,4,4,6,68,4,4,3,1,2,5,1,3,54,4,4
"1",2,3,4,4,4,50,3,3,3,3,3,2,2,4,39,2,3
"1",1,2,7,7,7,49,4,2,3,4,5,3,3,2,41,2,2
"1",3,3,6,5,4,51,3,3,3,3,3,3,3,3,51,4,4
"1",1,3,6,6,6,61,3,3,3,2,2,3,2,2,46,4,3
"1",1,3,6,6,6,62,4,4,4,1,2,4,1,4,59,5,3
"1",1,3,6,6,7,52,3,2,2,3,3,4,2,4,48,4,2
"1",1,3,3,3,7,26,2,2,3,5,5,2,5,5,46,2,2
"1",1,3,7,7,7,38,2,3,3,5,4,3,2,5,37,3,2
"1",1,3,5,5,6,58,3,3,3,3,3,4,3,2,35,2,2
"1",2,3,5,5,5,65,4,4,4,2,2,4,1,2,56,4,4
"1",1,3,6,7,7,68,4,4,4,1,2,4,1,2,55,3,4
"1",2,3,7,7,7,88,5,5,5,1,2,5,1,1,61,5,4
"1",1,3,7,7,6,67,5,5,4,2,2,4,2,2,49,5,4
"1",1,2,4,6,6,43,3,2,2,4,4,3,4,2,42,2,3
"1",1,3,3,1,1,43,1,2,2,4,4,2,3,4,34,1,2
"1",1,3,6,6,6,56,3,4,4,2,4,4,2,3,51,4,4
"1",1,3,7,7,7,52,3,3,3,2,3,4,3,4,58,4,4
"1",3,1,7,6,7,28,5,5,5,5,5,4,4,5,42,3,3
"1",1,1,6,6,6,58,3,3,3,3,2,3,2,2,44,3,3
"1",3,1,5,5,5,38,2,2,2,2,2,1,5,5,28,2,2
"1",1,3,7,7,7,52,3,3,3,4,3,4,2,3,36,3,2
"1",1,3,7,7,7,86,5,5,5,1,1,5,1,1,85,5,5
"1",1,3,5,6,6,69,4,3,3,1,3,5,1,3,42,3,2
"1",1,3,7,7,5,53,3,3,4,2,4,2,2,3,50,3,3
"1",3,3,6,6,7,41,4,4,4,4,4,4,4,3,49,4,4
"1",2,3,7,7,5,56,3,4,3,3,4,3,1,3,50,3,3
"1",1,3,6,5,6,67,4,4,4,2,3,3,1,2,53,3,4
"1",1,3,5,7,7,63,4,4,5,2,2,5,2,3,76,5,5
"1",1,2,5,5,5,42,3,3,4,5,3,2,4,3,40,4,5
"1",1,1,4,4,7,42,1,3,3,5,4,2,3,3,41,3,2
"1",2,3,7,7,6,72,4,3,4,1,3,5,1,3,63,5,3
"1",2,3,6,6,5,58,1,3,2,3,4,3,1,3,42,3,2
"1",1,3,6,6,7,51,3,3,2,3,3,4,2,5,51,3,3
"1",1,3,6,6,6,55,5,4,4,2,3,4,2,5,57,4,4
"1",1,2,5,5,6,48,1,3,2,3,4,2,2,2,50,4,4
"1",2,3,5,5,5,49,3,3,3,3,4,2,2,3,46,4,3
"1",2,3,6,7,7,64,3,4,4,3,4,3,1,2,63,5,4
"1",1,3,5,5,5,57,3,3,3,2,3,4,2,3,43,3,3
"1",1,3,5,5,5,60,4,4,4,2,3,5,2,2,82,5,5
"1",1,3,6,6,6,61,3,3,4,2,2,4,1,2,43,4,2
"1",1,2,3,5,6,27,1,1,1,5,5,1,5,4,39,2,2
"1",1,3,4,7,6,47,4,4,4,4,4,4,3,3,49,3,4
"1",1,3,6,6,6,69,5,4,4,1,3,5,2,2,57,4,4
"1",1,3,5,5,6,55,3,3,3,3,3,3,2,3,42,3,3
"1",1,3,5,5,6,53,3,3,3,3,3,3,2,3,42,3,3
"1",1,3,6,6,6,61,4,4,4,2,2,4,2,2,52,3,3
"1",1,3,5,5,6,59,4,3,3,2,4,5,2,2,46,4,2
"1",1,3,4,5,4,65,3,3,3,3,3,4,1,1,51,4,4
"1",1,3,5,5,5,56,3,3,3,3,2,2,2,3,50,4,4
"1",1,3,5,5,6,57,3,3,3,2,4,4,1,2,42,3,3
"1",1,3,4,4,3,43,3,3,3,4,5,2,2,2,42,3,3
"1",1,3,7,7,7,77,5,4,5,4,1,5,1,1,72,5,5
"1",2,3,7,7,7,82,5,5,4,5,1,5,1,1,64,5,4
"1",1,3,5,5,4,77,5,4,2,2,2,5,1,1,59,5,4
"1",1,2,6,6,6,43,2,3,3,4,2,2,3,4,57,4,4
"1",1,3,6,6,6,59,4,5,5,2,4,3,1,3,54,5,3
"1",1,3,6,6,5,35,2,1,3,5,5,2,2,4,45,2,2
"1",1,3,4,6,5,63,4,4,3,2,3,4,1,1,57,4,4
"1",1,3,6,7,7,51,3,3,3,3,4,3,1,3,46,4,2
"1",1,2,7,6,6,71,4,4,4,1,3,5,1,2,63,5,3
"1",1,3,6,7,5,64,3,4,5,2,3,3,1,2,45,3,1
"1",1,3,5,6,6,67,4,4,4,2,3,4,1,2,55,4,4
"1",2,3,4,4,3,50,4,3,3,3,5,3,2,3,49,4,3
"1",1,3,4,5,6,46,2,2,2,3,5,4,1,4,34,1,2
"1",1,3,6,6,6,72,5,4,4,1,3,5,1,2,85,5,5
"1",1,3,6,6,6,63,3,4,3,1,3,4,2,3,48,3,3
"1",2,2,3,4,4,42,3,2,2,4,3,2,4,4,52,3,4
"1",1,3,4,5,4,54,1,2,3,3,4,3,1,3,39,3,3
"1",1,3,5,6,6,63,5,4,4,1,3,5,1,3,50,3,3
