"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_4","FWB1_5","FWB1_6","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_2","FS1_3"
"1",1,3,5,5,5,48,2,3,2,3,3,3,3,3,42,3,3
"1",1,3,1,7,4,45,2,2,2,4,3,3,3,4,53,3,2
"1",1,3,3,3,3,50,3,3,3,3,4,5,2,3,34,1,2
"1",3,1,4,4,5,22,1,1,1,5,5,1,5,5,40,2,4
"1",2,3,6,6,5,67,3,2,1,3,2,4,1,2,51,2,4
"1",1,3,7,7,4,61,3,4,2,3,3,3,1,1,43,2,3
"1",1,3,3,5,6,43,2,2,2,4,4,2,4,3,45,3,3
"1",1,3,4,4,5,55,3,3,3,3,3,3,1,3,45,3,4
"1",1,2,4,6,6,43,3,2,2,4,4,3,4,2,42,2,3
"1",1,3,6,4,5,54,4,3,3,3,3,5,2,3,42,3,3
"1",2,2,6,6,3,76,4,4,4,1,2,5,1,2,57,4,3
"1",1,3,3,3,4,38,2,3,5,4,4,2,4,5,38,3,2
"1",1,2,5,6,6,56,4,3,4,2,3,4,2,3,44,3,2
"1",1,2,5,5,4,35,1,1,1,5,4,1,3,4,50,2,3
"1",1,3,6,4,4,56,2,4,3,4,3,3,2,2,42,3,3
"1",1,3,5,5,5,60,3,4,3,3,3,4,1,3,57,3,3
"1",1,3,6,6,7,57,5,4,4,2,2,4,2,2,82,5,5
"1",1,3,7,6,6,95,5,5,5,1,1,5,1,1,65,4,4
"1",1,3,4,4,7,54,2,2,3,3,2,2,2,3,56,4,4
"1",1,1,3,1,1,29,1,1,4,3,5,1,3,5,53,3,5
"1",2,1,6,6,4,63,4,4,4,2,3,5,1,3,55,4,4
"1",2,3,7,7,5,64,3,4,3,2,2,3,1,2,54,4,4
"1",1,2,4,6,7,33,1,1,2,5,5,2,4,4,30,1,3
"1",2,3,6,6,6,89,5,5,5,1,1,4,1,1,44,5,2
"1",1,3,5,5,5,43,2,3,3,4,4,2,3,4,52,4,4
"1",2,3,6,6,7,69,5,4,5,1,3,5,1,3,65,5,4
"1",1,3,5,5,4,50,1,1,1,3,3,3,3,3,32,3,1
"1",3,3,6,6,4,66,3,3,3,1,5,5,1,2,58,5,4
"1",2,2,7,7,7,81,4,4,5,1,2,5,1,1,42,4,3
"1",1,2,7,5,7,46,3,3,4,4,2,2,4,3,42,3,3
"1",2,3,6,6,6,59,3,3,4,4,2,4,2,2,41,3,3
"1",1,3,3,5,4,62,4,3,4,3,3,3,1,4,52,4,3
"1",1,3,5,4,3,73,3,3,3,1,2,5,1,1,51,3,2
"1",1,3,4,4,4,55,2,3,3,4,3,5,1,3,50,2,3
"1",1,1,4,3,6,32,2,1,3,5,5,2,4,5,34,2,3
"1",1,1,7,7,7,41,1,2,5,5,4,2,1,4,75,5,5
"1",1,1,7,6,4,58,3,3,3,3,3,3,1,2,43,3,1
"1",1,3,4,7,5,37,1,1,2,4,4,2,4,4,43,3,2
"1",1,3,6,6,6,55,5,4,4,2,3,4,2,5,57,4,4
"1",1,2,6,6,6,50,1,3,3,3,4,2,1,3,55,3,3
"1",1,3,6,6,6,60,3,3,3,2,2,3,2,2,43,2,3
"1",1,3,5,5,5,61,5,5,3,2,4,5,1,3,40,5,2
"1",3,3,6,6,6,59,4,4,4,3,2,3,2,2,55,4,4
"1",1,3,6,6,6,79,4,4,3,1,1,4,1,1,49,5,1
"1",1,3,4,5,3,40,1,2,2,5,4,1,4,4,60,5,5
"1",2,3,7,7,7,68,3,5,5,1,3,3,1,2,53,4,4
"1",2,3,5,6,7,64,3,3,4,4,2,5,1,2,47,4,3
"1",1,3,5,5,5,65,4,5,4,2,1,4,2,2,52,4,3
"1",1,3,3,5,5,53,4,4,4,3,3,4,2,3,56,4,4
"1",1,3,6,6,4,82,5,4,4,1,2,5,1,1,62,5,4
"1",1,3,4,4,4,40,1,2,2,4,4,2,3,3,40,2,2
"1",3,1,6,7,7,64,3,5,3,2,1,3,3,1,51,5,3
"1",2,3,7,6,7,66,4,4,4,5,3,5,1,2,70,4,5
"1",2,3,7,7,7,88,5,5,5,1,1,1,1,1,61,5,4
"1",1,3,7,7,7,70,4,3,3,2,2,5,1,1,64,4,3
"1",1,1,7,5,1,66,3,1,3,3,2,5,1,1,49,3,3
"1",1,2,7,7,7,27,1,1,2,5,5,1,4,2,60,1,4
"1",1,3,3,3,7,26,2,2,3,5,5,2,5,5,46,2,2
"1",1,3,4,5,6,49,2,3,3,3,4,3,2,3,41,4,2
"1",1,3,6,5,5,57,3,3,4,4,3,4,2,3,56,5,4
"1",1,3,5,5,3,52,3,3,3,3,3,3,2,3,44,3,3
"1",1,3,4,4,5,49,3,2,3,3,4,3,2,3,53,3,4
"1",1,3,7,7,6,72,4,5,5,1,4,5,1,2,64,5,3
"1",1,3,6,6,6,48,2,3,3,3,3,3,2,3,44,3,2
"1",2,1,6,7,5,48,1,1,4,5,5,3,1,3,49,3,3
"1",1,3,3,3,3,42,2,2,2,3,2,2,4,4,25,2,1
"1",1,3,6,5,6,66,4,4,4,1,3,5,1,3,47,3,3
"1",1,3,7,7,7,47,3,3,3,3,5,1,2,3,29,1,1
"1",1,3,7,7,7,60,3,5,5,5,4,5,1,1,69,5,4
"1",1,3,7,5,7,68,5,4,4,1,4,5,1,1,62,5,4
"1",1,1,2,4,3,50,3,3,3,3,5,2,1,3,58,4,4
